200.407	4864.0
203.658	5077.0
206.907	5183.0
210.154	5006.0
213.398	5227.0
216.64	5275.0
219.88	5222.0
223.117	5415.0
226.352	5885.0
229.585	6281.0
232.816	6812.0
236.044	7735.0
239.27	8247.0
242.494	7754.0
245.715	6907.0
248.934	6718.0
252.151	6704.0
255.366	6783.0
258.579	6783.0
261.789	6926.0
264.997	7114.0
268.202	7788.0
271.406	8587.0
274.607	8952.0
277.806	8740.0
281.003	8552.0
284.197	7983.0
287.389	8010.0
290.579	8054.0
293.767	8240.0
296.952	8274.0
300.136	8417.0
303.317	8605.0
306.496	8690.0
309.672	8912.0
312.846	9263.0
316.019	9488.0
319.188	9473.0
322.356	9669.0
325.522	9669.0
328.685	9704.0
331.846	9803.0
335.004	9799.0
338.161	10070.0
341.315	9921.0
344.467	9904.0
347.617	10065.0
350.765	10014.0
353.911	10040.0
357.054	10387.0
360.195	10478.0
363.334	10888.0
366.471	10873.0
369.605	10938.0
372.737	10708.0
375.867	11173.0
378.995	10941.0
382.121	11007.0
385.245	11196.0
388.366	11124.0
391.485	11571.0
394.602	11455.0
397.717	11702.0
400.829	11671.0
403.94	12203.0
407.048	11952.0
410.154	12158.0
413.258	12164.0
416.359	12389.0
419.459	12445.0
422.556	13217.0
425.651	13705.0
428.744	13503.0
431.835	13301.0
434.924	12949.0
438.01	12933.0
441.095	13002.0
444.177	13298.0
447.257	13019.0
450.335	13172.0
453.411	13288.0
456.484	13664.0
459.555	13781.0
462.625	14177.0
465.692	14433.0
468.757	14213.0
471.82	14233.0
474.88	14225.0
477.939	13853.0
480.995	14675.0
484.049	14737.0
487.101	14941.0
490.151	14874.0
493.199	15025.0
496.245	14846.0
499.288	15164.0
502.33	15034.0
505.369	14926.0
508.406	15100.0
511.441	15489.0
514.474	15304.0
517.505	15399.0
520.534	15688.0
523.56	15778.0
526.585	15288.0
529.607	15031.0
532.627	15311.0
535.645	15365.0
538.661	15780.0
541.675	15781.0
544.687	16132.0
547.696	16603.0
550.704	16971.0
553.709	17246.0
556.713	17790.0
559.714	18136.0
562.713	18855.0
565.71	18878.0
568.705	19594.0
571.698	19685.0
574.689	19962.0
577.677	20637.0
580.664	20633.0
583.648	20934.0
586.631	21409.0
589.611	21975.0
592.589	22764.0
595.565	22912.0
598.539	22492.0
601.511	22674.0
604.481	22633.0
607.449	23222.0
610.415	23255.0
613.378	24052.0
616.34	24554.0
619.299	27399.0
622.257	29315.0
625.212	27559.0
628.165	25346.0
631.117	25052.0
634.066	24996.0
637.013	25287.0
639.958	25472.0
642.901	25654.0
645.842	26011.0
648.781	25150.0
651.718	25814.0
654.652	26141.0
657.585	25558.0
660.516	25712.0
663.444	25730.0
666.371	25906.0
669.295	25808.0
672.218	26206.0
675.138	26134.0
678.057	26497.0
680.973	26893.0
683.887	26722.0
686.8	27265.0
689.71	26702.0
692.618	26310.0
695.524	26008.0
698.428	26560.0
701.331	26896.0
704.231	26881.0
707.129	26838.0
710.025	26939.0
712.919	27020.0
715.811	27160.0
718.701	27093.0
